imdb_id,type,title,country,date_added,release_year,rating,listed_in,description,age_certification,runtime,imdb_score,imdb_votes
tt7907916,TV Show,Ugly Delicious,United States,"March 6, 2020",2020,TV-MA,Docuseries,"All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub.",TV-MA,51mins,7.8,3505
tt11738790,TV Show,Mighty Little Bheem: Festival of Colors,India,"March 5, 2020",2020,TV-Y,"Kids' TV, TV Comedies","From surprising stage performances to spraying colors with friends, join baby Bheem for all his Holi hijinks during the special spring festival.",,6mins,7.2,37
tt11280100,Movie,Tootsies & The Fake,Thailand,"March 5, 2020",2019,TV-MA,"Comedies, International Movies, LGBTQ Movies","After knocking a celebrity unconscious before a huge job, a bumbling pack of pals tries to avoid a lawsuit by replacing her with a look-alike.",,108mins,5.9,474
tt8821182,Movie,Aurora,"Romania, France, Switzerland, Germany","March 4, 2020",2010,TV-MA,"Dramas, International Movies","42-year-old Viorel, a distraught engineer, takes drastic measures to end his emotional suffering after enduring a devastating divorce.",,110mins,4.3,603
tt2955402,TV Show,Velvet,Spain,"March 4, 2020",2016,TV-14,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family.",TV-14,57mins,8.1,6018
tt8781414,Movie,Freaks,"United States, Canada","March 3, 2020",2018,R,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world.",R,105mins,6.7,34111
tt11738792,Movie,Taylor Tomlinson: Quarter-Life Crisis,United States,"March 3, 2020",2020,TV-MA,Stand-Up Comedy,"She's halfway through her 20s — and she's over it. Too old to party, too young to settle down, comedian Taylor Tomlinson takes aim at her life choices.",,61mins,7.4,3595
tt12499674,Movie,Uncovered,South Africa,"March 3, 2020",2019,TV-MA,"Dramas, International Movies","To solve her sister's murder, a corporate protégé assumes her sibling's investigation into a mining conspiracy that could implicate her own boss.",,95mins,4.8,21
tt4378376,TV Show,Babylon Berlin,Germany,"March 1, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",A Soviet freight train's hijacking leads a haunted cop and a poor typist to uncover a political conspiracy amid the vice and glamour of 1929 Berlin.,TV-MA,49mins,8.4,23256
tt9766280,Movie,Bhangra Paa Le,India,"March 1, 2020",2019,TV-14,"Comedies, Dramas, International Movies","Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own.",,131mins,6.2,353
tt1290138,Movie,Frank & Lola,United States,"March 1, 2020",2016,TV-MA,"Dramas, Thrillers",A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that she's hiding dark secrets.,,88mins,5.9,6029
tt6102594,Movie,Ordinary World,United States,"March 1, 2020",2016,TV-14,"Comedies, Dramas, Music & Musicals",A suburban dad having a midlife crisis throws a lavish 40th birthday party to celebrate his punk-rock past but discovers it's not easy going back.,,86mins,5.5,3034
tt8413624,Movie,Voulez-vous rire avec moi ce soir?,France,"March 1, 2020",2018,TV-MA,"Documentaries, International Movies",French humorist Yacine Belhousse tours the world to explore how stand-up comedians make audiences laugh across cultures.,,93mins,6.8,43
tt8001250,TV Show,Always a Witch,Colombia,"February 28, 2020",2019,TV-14,"International TV Shows, Spanish-Language TV Shows, TV Comedies","A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival.",TV-14,40mins,6.3,2406
tt11262978,Movie,Amit Tandon: Family Tandoncies,India,"February 28, 2020",2019,TV-14,Stand-Up Comedy,"From the death of romance in marriage to the injustices of modern-day parenting, Amit Tandon shares wisdom and wisecracks as a battle-scarred family guy.",,72mins,7,250
tt9426290,TV Show,Queen Sono,South Africa,"February 28, 2020",2020,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",South African spy Queen Sono finds herself in a nefarious web of business and politics as she seeks to uncover the truth behind her mother's death.,TV-MA,89mins,5.9,1226
tt8693266,TV Show,Toy Boy,Spain,"February 28, 2020",2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","After seven years in a Málaga prison, a male stripper is released pending retrial and sets out to prove his lover framed him for her husband's murder.",TV-MA,61mins,6.5,7371
tt9537292,Movie,Ala Vaikunthapurramuloo,India,"February 27, 2020",2020,TV-14,"Action & Adventure, Comedies, Dramas","After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son.",PG-13,165mins,7.5,14839
tt2261227,TV Show,Altered Carbon,United States,"February 27, 2020",2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",TV-MA,52mins,7.9,162018
tt11874042,TV Show,Six Windows in the Desert,Saudi Arabia,"February 27, 2020",2020,TV-14,TV Shows,"From a theatre play to the aftermath of a plane crash, this collection of shorts from Saudi filmmakers depicts the nuances of Saudi Arabian culture.",TV-14,21mins,4.3,3074
tt4527090,Movie,Gbomo Gbomo Express,Nigeria,"February 26, 2020",2015,TV-MA,"Dramas, International Movies",The night spins sinisterly out of control when incompetent kidnappers hold a club-hopping record exec and a socialite for ransom in this dark comedy.,,97mins,5,50
tt0075314,Movie,Taxi Driver,Nigeria,"February 26, 2020",2015,TV-MA,"Comedies, Dramas, Independent Movies","After his father dies, a young mechanic moves to the city to drive the old man’s taxi, and encounters assassins and a motley crew of urban weirdos.",R,113mins,8.3,795222
tt5112438,Movie,Taxi Driver,Nigeria,"February 26, 2020",2015,TV-MA,"Comedies, Dramas, Independent Movies","After his father dies, a young mechanic moves to the city to drive the old man’s taxi, and encounters assassins and a motley crew of urban weirdos.",,100mins,6,68
tt5811182,Movie,The Arbitration,Nigeria,"February 26, 2020",2016,TV-MA,"Dramas, International Movies",An arbitration panel is formed after a company CEO in Nigeria is sued for wrongful dismissal and rape by an employee with whom he had an affair.,,100mins,5.1,121
tt11822998,TV Show,The Trials of Gabriel Fernandez,United States,"February 26, 2020",2020,TV-MA,"Crime TV Shows, Docuseries",A boy’s brutal murder and the public trials of his guardians and social workers prompt questions about the system’s protection of vulnerable children.,TV-MA,55mins,8.1,10982
tt4094916,Movie,When Love Happens,Nigeria,"February 26, 2020",2014,TV-14,"International Movies, Romantic Movies","Fed up with coordinating weddings for everyone else, unlucky-in-love event planner Mo turns to the internet to see if she can find her own Mr. Right.",,109mins,4.8,128
